title,summary,platformList,criticsScore,developers,genres,publishers,releaseDate,themes,gameMins,dlcs,backgroundImage,squareIcon,verticalCover
2x Overwatch Loot Boxes,,['Humble Bundle'],,,,,2020-09-16,,,,,,
"3 out of 10, EP 4: ""Thank You For Being An Asset""","Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.",['Epic Games Store'],,"['Terrible Posture Games, Inc.']",['Adventure'],"['Terrible Posture Games, Inc.']",2020-08-27,['Comedy'],49,,https://images.gog.com/14b2e8bdaa4c03bfcf29678fab46a96dd52777fbdf49675f92afcd8c660d4e3c_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/bb7f934ccd89569e42e95755f09987072b70868a8eaa3bbf649b25efa165b0d7_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/42ed7c00178fa57bc616151b4a6c9eea07c3679e611393188de08901586a47f8_glx_vertical_cover.webp?namespace=gamesdb
"3 out of 10, EP 5: ""The Rig Is Up!""","Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.",['Epic Games Store'],,,['Adventure'],,2020-09-03,['Comedy'],46,,https://images.gog.com/f85568645d1caf0b47d6504118ae04584f864579f244f04f191bdc4ad967be2a_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/d98f677c64e6db09c4b1ad8d365e809cf9d5e134b8c74aa0a19e2981cd73832d_glx_square_icon_v2.webp?namespace=gamesdb,
"3 out of 10, Ep. 1: ""Welcome to Shovelworks""","Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.",['Epic Games Store'],,['Terrible Posture Games LLC'],['Adventure'],,2020-08-06,['Comedy'],43,['3 Out of 10 Ep 2 Foundation 101'],https://images.gog.com/77861f38eb0bdc97b5fd50a0d539cf888b19c61a828532e78259d89f67521e55_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/8b9de4f9c215ffe205af92cf7c6c1b0b5c6f96ad57b466b341c05812ba8e4d55_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/8b9de4f9c215ffe205af92cf7c6c1b0b5c6f96ad57b466b341c05812ba8e4d55_glx_vertical_cover.webp?namespace=gamesdb
"3 out of 10, Episode 3: ""Pivot Like A Champion""",Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week the team settles a question the way only game developers can; with an office wide Battle Royale.,['Epic Games Store'],,"['Terrible Posture Games, Inc.']",['Adventure'],"['Terrible Posture Games, Inc.']",2020-08-20,['Comedy'],37,,https://images.gog.com/ea83397b6633ce6d954add7ff91533b9ea6f7006878b0c86e6408614ff5fcc77_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/6339af4ec52377197ad63b72a5d44b29dccd399350bbd37ef8394270626f2410_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/4884e950c015643623f983fbd6f5f78f6ce23eaadb6905b03b6b90465bf51d1d_glx_vertical_cover.webp?namespace=gamesdb
7 Days to Die,"Building on survivalist and horror themes, players in 7 Days to Die can scavenge the abandoned cities of the buildable and destructable voxel world for supplies or explore the wilderness to gather raw materials to build their own tools, weapons, traps, fortifications and shelters. The horror (zombies) element makes up a large part of the game, including building and the fully destructible (voxel) environment - everything is built from blocks, similar to Minecraft, yet creating a very smooth look.\n\nWith steady updates (but slow, avg. 2 major updates / year, with several minor ones in-between, mostly bug fixes) the game has steadily advanced and continues to advance in terms of graphics but even more so and more importantly, gameplay, having changed from being a mostly simple shooter and focused on elaborate crafting (changed with Alpha 12), to a full RPG experience, with Alpha 15 having introduced NPCs (traders only) and an extensive skill system and Alpha 17 introduced this as a categorized (traits-like) system.\n\nThe game now also has an extensive traps, automated turrets via an electricity tier, plus a whole assortment of usable single- and multi-seating vehicles (manual and motor bikes, cars, gyrocopter) introduced in Alpha 17.\n\nThe game can be played single-player (SP), multi-player (MP), co-op / PvE and PvP; game servers can be run either via the game client, or as a dedicated server with extensive configurability and number of modifications possible, including custom blocks and sounds, plus an event system, which created an active ""modding"" community and allows to experience the game in many different ways that were initially not intended.","['Humble Bundle', 'Steam']",36,"['Iron Galaxy Studios', 'The Fun Pimps Entertainment LLC']","['Adventure', 'Indie', 'Role-playing (RPG)', 'Shooter', 'Simulator', 'Strategy']","['Telltale Games', 'The Fun Pimps Entertainment LLC']",2013-12-13,"['Action', 'Horror', 'Sandbox', 'Survival']",95,,https://images.gog.com/43c7f893dfda36f8407305778225bf1eb1b25132667b01c5191ba0b2eb0f8d44_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/9208f49b00250f6e8c2044b6e9e7c2727aa649462dd84f0d3d8ec7fd97af7da3_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/e3608cf37ccdb2a878ff76a7d05d60b6fc93cfe23cb8c3a7a12e00f2b692b9b0_glx_vertical_cover.webp?namespace=gamesdb
10 Second Ninja X,"10 SECOND NINJA X is a blisteringly fast, satisfyingly difficult and surprisingly methodical sidescroller which tasks you with completing each level in ten seconds or less. No lengthy checkpoint gaps. No cluttered control scheme. No hand holding. Get that three star rating, yo! You got this.\n\n1 star. Again. 1 star. Again. 2 stars! Again. Back to 1 star. DAMN IT. Again...\n\n100 levels including all 40 original 10 Second Ninja levels remastered in HD. Individual leaderboards for each level. Unlockables and collectibles.",['Steam'],77,['Four Circle Interactive'],"['Arcade', 'Indie', 'Platform', 'Puzzle']",['Curve Digital'],2016-07-19,['Action'],,,https://images.gog.com/640c97dd51fbb5eb6240d0d7e2765e223d46e1b9f92ce4d9f5db7992f4ced293_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/e1d3f3b75a1cf921a1493294840c1e821e5002e55943f987039f6a76cc2bd90c_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/4df641c4cada7d9a9d3e76ac76581e4733d84d0a7030fd9de9322c9bf8b423d3_glx_vertical_cover.webp?namespace=gamesdb
11-11 Memories Retold,"11th November 1916, a young photographer leaves Canada to join the western front in Europe.\n\nThe same day, a German technician is told that his son is missing in action.\n\nBoth want to preserve their humanity and come back alive to their loved ones.","['Humble Bundle', 'Steam']",74,"['Aardman Digital', 'DigixArt']",['Adventure'],['Bandai Namco Entertainment Europe'],2018-11-09,['Historical'],,,https://images.gog.com/7c940db060fd79ae676847150a94ba765250f5a8b51e6d8de205c39f04eeb1ba_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/d2eaaa3eabf0f6d4ccfbd14e99a6e0d96b6dec1b14b9ed8cc70dae00366c4ec6_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/d2eaaa3eabf0f6d4ccfbd14e99a6e0d96b6dec1b14b9ed8cc70dae00366c4ec6_glx_vertical_cover.webp?namespace=gamesdb
20 Minute Metropolis,,['Humble Bundle'],,,,,2020-09-16,,,,,,
20XX,"20XX is a co-op-friendly action platformer roguelite. Explore procedurally generated levels, collect new weapons and abilities, purchase upgrades, and crush ferocious bosses! If you are a fan of roguelikes or Mega Man, 20XX is for you!",['Epic Games Store'],75,"['Batterystaple Games', 'Fire Hose Games']","['Indie', 'Platform', 'Shooter']",['Batterystaple Games'],2017-08-16,"['Action', 'Science fiction']",,,https://images.gog.com/fa93fa634ab3b9ea798267dced057e114ddbfc28e4f9b487e16f7dcd19d3b07f_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/b8190e098b2954dfa80fb6746102a9baddbec6648e6d2de500994e48481c0f06_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/4c4cc7022c36f2bfbc7b8fe89284506d2ef01998f0d139e7b16f0e97279d32c8_glx_vertical_cover.webp?namespace=gamesdb
60 Parsecs!,"60 Parsecs! is an Atomic Space Age adventure of scavenge and survival. Keep your crew alive and ready for action. Make difficult choices, face soup shortages and other horrors of outer space. And maybe reach your destination. Or not.",['Humble Bundle'],,['Robot Gentleman Studios'],"['Adventure', 'Indie', 'Point-and-click', 'Role-playing (RPG)', 'Simulator', 'Strategy']",['Robot Gentleman Studios'],2018-09-18,"['Comedy', 'Science fiction', 'Survival']",,,https://images.gog.com/677ecbd0926ee5c6e767334c093305bcca911eb7ca68792abd2e8687230bd44e_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/362e0c66b2aaf3cc6cab2a00dfc01aaf02f74d940b2d8b4ba2c4e692bd895621_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/362e0c66b2aaf3cc6cab2a00dfc01aaf02f74d940b2d8b4ba2c4e692bd895621_glx_vertical_cover.webp?namespace=gamesdb
60 Parsecs!,"60 Parsecs! is an Atomic Space Age adventure of scavenge and survival. Keep your crew alive and ready for action. Make difficult choices, face soup shortages and other horrors of outer space. And maybe reach your destination. Or not.",['Steam'],,['Robot Gentleman Studios'],"['Adventure', 'Indie', 'Point-and-click', 'Role-playing (RPG)', 'Simulator', 'Strategy']",['Robot Gentleman Studios'],2018-09-18,"['Comedy', 'Science fiction', 'Survival']",,,https://images.gog.com/677ecbd0926ee5c6e767334c093305bcca911eb7ca68792abd2e8687230bd44e_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/362e0c66b2aaf3cc6cab2a00dfc01aaf02f74d940b2d8b4ba2c4e692bd895621_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/362e0c66b2aaf3cc6cab2a00dfc01aaf02f74d940b2d8b4ba2c4e692bd895621_glx_vertical_cover.webp?namespace=gamesdb
140,"140 is an indie 2D puzzle-platformer. It features minimalistic, blocky graphics and a excellent sound-track.",['Humble Bundle'],71,['Carlsen Games'],"['Indie', 'Music', 'Platform']",['Carlsen Games'],2013-10-16,['Action'],,,https://images.gog.com/0d34eb8005cafe0e4de931a16f0cfd56eb726838039bee446ed28f8e4a2d5606_glx_bg_top_padding_7.webp?namespace=gamesdb,https://images.gog.com/3d23977112c69767f6f7fe48ac7071ff5e23615ae8edd3965ca93d5bfcf63524_glx_square_icon_v2.webp?namespace=gamesdb,https://images.gog.com/3d23977112c69767f6f7fe48ac7071ff5e23615ae8edd3965ca93d5bfcf63524_glx_vertical_cover.webp?namespace=gamesdb
